protocol_number,protocol,when_aug_performed,aug_type,config/HP_AUG_PER,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC,config/HP_REPEAT,fold_number
2,LOO_ASUS,None,Baseline,0,1227.3333333333333,9325.833333333334,56.166666666666664,128.66666666666666,0.09488692232055058,0.005986641085767017,0.050436781703158795,0.08689011602712726,0.9495632182968411,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IP7P,None,Baseline,0,1771.0,9121.666666666666,260.3333333333333,1.0,0.00056433408577875,0.027748170255098365,0.014156252170438548,0.02659448808325235,0.9858437478295613,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IPP2017,None,Baseline,0,1564.8333333333333,9283.166666666666,98.83333333333333,172.16666666666666,0.09911725196699285,0.010534356569317083,0.05482580426815497,0.09097112586925772,0.945174195731845,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_SGS8,None,Baseline,0,898.3333333333334,9006.0,376.0,1.6666666666666667,0.00185185185185185,0.040076742698784834,0.020964297275318334,0.03832477233457077,0.9790357027246817,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,UnKnown_P,None,Baseline,0,2084.0,9295.166666666666,86.83333333333333,117.0,0.05315765561108585,0.009255311589568617,0.03120648360032725,0.05454443725132587,0.9687935163996727,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,UnKnown_R,None,Baseline,0,4078.8333333333335,9365.0,17.0,1686.1666666666667,0.29248337669846775,0.0018119803879769166,0.14714767854322233,0.22597259375667286,0.8528523214567776,10.0,8.0,0.0,4.0,0.2857142857142857,0.0,0.1428571428571428,0.2222222222222222,0.8571428571428572,1.5,1.0
