protocol_number,protocol,when_aug_performed,aug_type,config/HP_AUG_PER,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC
2,LOO_IP7P,BeforeSplit,GenAugSpoofOnly_KF,0.2,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IP7P,BeforeSplit,GenAugSpoofOnly_KF,0.3,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IP7P,BeforeSplit,TradAugSpoofOnly,0.05,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IP7P,BeforeSplit,TradAugSpoofOnly,0.1,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IP7P,BeforeSplit,TradAugSpoofOnly,0.2,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IP7P,BeforeSplit,TradAugSpoofOnly,0.3,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IP7P,None,Baseline,0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,AfterSplit,GenAugSpoofOnly,0.05,3.6666666666666665,8.0,0.0,0.3333333333333333,0.08333333333333333,0.0,0.041666666666666664,0.06666666666666667,0.9583333333333334
2,LOO_IPP2017,AfterSplit,GenAugSpoofOnly,0.1,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,AfterSplit,GenAugSpoofOnly,0.2,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,AfterSplit,GenAugSpoofOnly,0.3,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,AfterSplit,GenAugSpoofOnly_KF,0.05,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,AfterSplit,GenAugSpoofOnly_KF,0.1,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,AfterSplit,GenAugSpoofOnly_KF,0.2,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,AfterSplit,GenAugSpoofOnly_KF,0.3,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,AfterSplit,TradAugSpoofOnly,0.05,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,AfterSplit,TradAugSpoofOnly,0.1,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,AfterSplit,TradAugSpoofOnly,0.2,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,AfterSplit,TradAugSpoofOnly,0.3,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,BeforeSplit,GenAugSpoofOnly,0.05,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,BeforeSplit,GenAugSpoofOnly,0.1,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,BeforeSplit,GenAugSpoofOnly,0.2,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,BeforeSplit,GenAugSpoofOnly,0.3,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,BeforeSplit,GenAugSpoofOnly_KF,0.05,3.8333333333333335,8.0,0.0,0.16666666666666666,0.041666666666666664,0.0,0.020833333333333332,0.03333333333333333,0.9791666666666666
2,LOO_IPP2017,BeforeSplit,GenAugSpoofOnly_KF,0.1,3.8333333333333335,8.0,0.0,0.16666666666666666,0.041666666666666664,0.0,0.020833333333333332,0.03333333333333333,0.9791666666666666
2,LOO_IPP2017,BeforeSplit,GenAugSpoofOnly_KF,0.2,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,BeforeSplit,GenAugSpoofOnly_KF,0.3,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,BeforeSplit,TradAugSpoofOnly,0.05,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,BeforeSplit,TradAugSpoofOnly,0.1,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,BeforeSplit,TradAugSpoofOnly,0.2,4.0,7.833333333333333,0.16666666666666666,0.0,0.0,0.020833333333333332,0.010416666666666666,0.018518518518518517,0.9895833333333334
2,LOO_IPP2017,BeforeSplit,TradAugSpoofOnly,0.3,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_IPP2017,None,Baseline,0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_SGS8,AfterSplit,GenAugSpoofOnly,0.05,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_SGS8,AfterSplit,GenAugSpoofOnly,0.1,2.0,7.833333333333333,0.16666666666666666,0.0,0.0,0.020833333333333332,0.010416666666666666,0.018518518518518517,0.9895833333333334
2,LOO_SGS8,AfterSplit,GenAugSpoofOnly,0.2,2.0,7.666666666666667,0.3333333333333333,0.0,0.0,0.041666666666666664,0.020833333333333332,0.03333333333333333,0.9791666666666666
2,LOO_SGS8,AfterSplit,GenAugSpoofOnly,0.3,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,LOO_SGS8,AfterSplit,GenAugSpoofOnly_KF,0.05,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
