protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC
3,AfterSplit,TradAugSpoofOnly,0.2,8.666666666666666,8.0,0.0,0.3333333333333333,0.023809523809523808,0.0,0.011904761904761904,0.021527777777777774,0.9880952380952381
3,AfterSplit,TradAugSpoofOnly,0.3,8.5,8.0,0.0,0.5,0.03571428571428571,0.0,0.017857142857142856,0.03194444444444445,0.9821428571428572
3,BeforeSplit,GenAugSpoofOnly,0.05,8.416666666666666,8.0,0.0,0.5833333333333334,0.041666666666666664,0.0,0.020833333333333332,0.03518518518518518,0.9791666666666666
3,BeforeSplit,GenAugSpoofOnly,0.1,8.083333333333334,8.0,0.0,0.9166666666666666,0.08035714285714285,0.0,0.040178571428571425,0.06887254901960783,0.9598214285714285
3,BeforeSplit,GenAugSpoofOnly,0.2,8.25,8.0,0.0,0.75,0.05357142857142857,0.0,0.026785714285714284,0.04791666666666667,0.9732142857142857
3,BeforeSplit,GenAugSpoofOnly,0.3,7.916666666666667,8.0,0.0,1.0833333333333333,0.09226190476190477,0.0,0.046130952380952384,0.07859477124183008,0.9538690476190476
3,BeforeSplit,GenAugSpoofOnly_KF,0.05,8.5,8.0,0.0,0.5,0.06547619047619048,0.0,0.03273809523809524,0.055555555555555546,0.9672619047619048
3,BeforeSplit,GenAugSpoofOnly_KF,0.1,8.666666666666666,8.0,0.0,0.3333333333333333,0.03869047619047619,0.0,0.019345238095238096,0.033333333333333326,0.9806547619047619
3,BeforeSplit,GenAugSpoofOnly_KF,0.2,8.416666666666666,8.0,0.0,0.5833333333333334,0.05654761904761905,0.0,0.028273809523809524,0.047344771241830064,0.9717261904761904
3,BeforeSplit,GenAugSpoofOnly_KF,0.3,8.833333333333334,8.0,0.0,0.16666666666666666,0.011904761904761904,0.0,0.005952380952380952,0.011111111111111106,0.9940476190476191
3,BeforeSplit,TradAugSpoofOnly,0.05,8.666666666666666,8.0,0.0,0.3333333333333333,0.023809523809523808,0.0,0.011904761904761904,0.022222222222222213,0.9880952380952381
3,BeforeSplit,TradAugSpoofOnly,0.1,8.583333333333334,7.916666666666667,0.08333333333333333,0.4166666666666667,0.029761904761904757,0.010416666666666666,0.020089285714285712,0.03703703703703703,0.9799107142857143
3,BeforeSplit,TradAugSpoofOnly,0.2,8.583333333333334,8.0,0.0,0.4166666666666667,0.029761904761904757,0.0,0.014880952380952378,0.02708333333333333,0.9851190476190476
3,BeforeSplit,TradAugSpoofOnly,0.3,8.333333333333334,8.0,0.0,0.6666666666666666,0.047619047619047616,0.0,0.023809523809523808,0.04236111111111112,0.9761904761904763
3,None,Baseline,0,8.666666666666666,8.0,0.0,0.3333333333333333,0.023809523809523808,0.0,0.011904761904761904,0.022222222222222213,0.9880952380952381
