,0.05,0.1,0.2,0.3
ASUS,42106.25,42891.76,43565.11,44369.29
IP7P,33450.44,34110.69,34668.28,35512.8
IPP2017,41589.71,42456.5,43378.86,44563.64
SGS8,30354.31,30657.32,30672.3,30725.27
P,35582.29,35950.42,36916.36,37336.54
R,57575.0,57642.88,56513.46,56682.19
