,0.05,0.1,0.2,0.3
ASUS,42658.06,43594.0,45688.5,47888.4
IP7P,34143.03,35512.89,37304.09,40212.6
IPP2017,42214.49,43087.97,44848.9,47797.24
SGS8,30853.5,31249.19,32245.32,34112.56
P,35761.22,36625.34,38884.72,41142.83
R,56636.44,57239.62,59130.68,60707.89
