,0.05,0.1,0.2,0.3
ASUS,41956.67,41766.6,41526.44,41340.27
IP7P,34245.85,34553.25,35301.2,36414.45
IPP2017,41219.75,40743.33,39991.64,39705.62
SGS8,30295.77,30110.58,29408.6,28939.99
P,35546.46,35319.96,34807.91,34963.93
R,56786.88,56731.45,56411.4,55765.29
