protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC,config/HP_REPEAT,fold_number
2,AfterSplit,GenAugSpoofOnly,0.05,1355.0,9154.625,227.375,86.25,0.055132897565827184,0.02423523768919203,0.039684067627509596,0.06753257852320944,0.9603159323724904,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,AfterSplit,GenAugSpoofOnly,0.1,1363.125,9197.875,184.125,78.125,0.049861038997970085,0.0196253464080153,0.03474319270299268,0.05979903617892266,0.9652568072970072,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,AfterSplit,GenAugSpoofOnly,0.2,1358.9583333333333,9190.5,191.5,82.29166666666667,0.052414828802722795,0.020411426135152375,0.03641312746893757,0.06226612232962706,0.9635868725310623,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,AfterSplit,GenAugSpoofOnly,0.3,1365.7083333333333,9161.708333333334,220.29166666666666,75.54166666666667,0.05124687316768934,0.023480245860868287,0.03736355951427881,0.060177509017895196,0.9626364404857212,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,AfterSplit,GenAugSpoofOnly,0.05,3263.75,9293.25,88.75,719.25,0.13786915038618805,0.009459603496056233,0.07366437694112214,0.11499966317821919,0.9263356230588777,7.333333333333333,8.0,0.0,1.6666666666666667,0.11904761904761903,0.0,0.0595238095238095,0.0943355119825708,0.9404761904761906,1.5,1.0
3,AfterSplit,GenAugSpoofOnly,0.1,3095.25,9172.25,209.75,887.75,0.16417143433580805,0.02235664037518649,0.09326403735549726,0.14089974409708764,0.9067359626445026,7.083333333333333,8.0,0.0,1.9166666666666667,0.1369047619047619,0.0,0.06845238095238092,0.1068971448228414,0.9315476190476191,1.5,1.0
3,AfterSplit,GenAugSpoofOnly,0.2,3261.25,9286.166666666666,95.83333333333333,721.75,0.13746016653314955,0.010214595324379967,0.07383738092876478,0.11822761188420779,0.9261626190712352,7.25,8.0,0.0,1.75,0.12499999999999999,0.0,0.06249999999999997,0.09919662309368192,0.9375,1.5,1.0
3,AfterSplit,GenAugSpoofOnly,0.3,3151.25,9241.083333333334,140.91666666666666,831.75,0.1517658928981662,0.015019896255240485,0.0833928945767033,0.12935085505524777,0.9166071054232966,7.0,8.0,0.0,2.0,0.14285714285714285,0.0,0.0714285714285714,0.1111111111111111,0.9285714285714285,1.5,1.0
