protocol_number,protocol,when_aug_performed,aug_type,config/HP_AUG_PER,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC
1,Low_Quality,AfterSplit,GenAugSpoofOnly,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,GenAugSpoofOnly,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,GenAugSpoofOnly,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,GenAugSpoofOnly,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,GenAugSpoofOnly_KF,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,GenAugSpoofOnly_KF,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,GenAugSpoofOnly_KF,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,GenAugSpoofOnly_KF,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,TradAugSpoofOnly,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,TradAugSpoofOnly,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,TradAugSpoofOnly,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,TradAugSpoofOnly,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,TradAugSpoofOnly,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,TradAugSpoofOnly,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,TradAugSpoofOnly,0.2,89.83333333333333,30.0,0.0,0.16666666666666666,0.001851851851851852,0.0,0.000925925925925926,0.001831501831501825,0.9990740740740741
1,Low_Quality,BeforeSplit,TradAugSpoofOnly,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,None,Baseline,0,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,Normal_Quality,AfterSplit,GenAugSpoofOnly,0.05,87.5,28.0,2.0,2.5,0.02777777777777778,0.06666666666666667,0.04722222222222222,0.06417295813315031,0.9527777777777778
2,Normal_Quality,AfterSplit,GenAugSpoofOnly,0.1,88.0,28.0,2.0,2.0,0.022222222222222223,0.06666666666666667,0.044444444444444446,0.06382978723404256,0.9555555555555556
2,Normal_Quality,AfterSplit,GenAugSpoofOnly,0.2,88.0,28.0,2.0,2.0,0.022222222222222223,0.06666666666666667,0.044444444444444446,0.06383219545087841,0.9555555555555556
2,Normal_Quality,AfterSplit,GenAugSpoofOnly,0.3,88.16666666666667,28.0,2.0,1.8333333333333333,0.020370370370370372,0.06666666666666667,0.04351851851851852,0.06371780515117582,0.9564814814814815
2,Normal_Quality,AfterSplit,GenAugSpoofOnly_KF,0.05,88.0,28.0,2.0,2.0,0.022222222222222223,0.06666666666666667,0.044444444444444446,0.06383219545087841,0.9555555555555556
2,Normal_Quality,AfterSplit,GenAugSpoofOnly_KF,0.1,88.16666666666667,28.0,2.0,1.8333333333333333,0.020370370370370372,0.06666666666666667,0.04351851851851852,0.06371780515117582,0.9564814814814815
2,Normal_Quality,AfterSplit,GenAugSpoofOnly_KF,0.2,87.83333333333333,28.0,2.0,2.1666666666666665,0.024074074074074078,0.06666666666666667,0.04537037037037037,0.06394417753374515,0.9546296296296296
2,Normal_Quality,AfterSplit,GenAugSpoofOnly_KF,0.3,88.0,28.0,2.0,2.0,0.022222222222222223,0.06666666666666667,0.044444444444444446,0.06382978723404256,0.9555555555555556
2,Normal_Quality,AfterSplit,TradAugSpoofOnly,0.05,87.83333333333333,28.0,2.0,2.1666666666666665,0.024074074074074078,0.06666666666666667,0.04537037037037037,0.06394417753374515,0.9546296296296296
2,Normal_Quality,AfterSplit,TradAugSpoofOnly,0.1,88.16666666666667,28.0,2.0,1.8333333333333333,0.020370370370370372,0.06666666666666667,0.04351851851851852,0.06371780515117582,0.9564814814814815
2,Normal_Quality,AfterSplit,TradAugSpoofOnly,0.2,88.0,28.0,2.0,2.0,0.022222222222222223,0.06666666666666667,0.044444444444444446,0.06382978723404256,0.9555555555555556
2,Normal_Quality,AfterSplit,TradAugSpoofOnly,0.3,88.0,28.0,2.0,2.0,0.022222222222222223,0.06666666666666667,0.044444444444444446,0.06382978723404256,0.9555555555555556
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.05,87.66666666666667,28.0,2.0,2.3333333333333335,0.025925925925925925,0.06666666666666667,0.0462962962962963,0.06405856783344772,0.9537037037037037
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.1,87.83333333333333,28.0,2.0,2.1666666666666665,0.024074074074074078,0.06666666666666667,0.04537037037037037,0.06394417753374515,0.9546296296296296
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.2,87.83333333333333,28.0,2.0,2.1666666666666665,0.024074074074074078,0.06666666666666667,0.04537037037037037,0.0639490724962267,0.9546296296296296
