,Multi_protocol_number,Multi_fold_number,Multi_protocol,Multi_TN,Multi_TP,Multi_FN,Multi_FP,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_EER_Thresh,Multi_AUC,when_aug_performed,aug_type,window_size,config/HP_AUG_PER,config/HP_REPEAT,protocol_number,protocol,fold_number
27,4,2,Warped_Photo_Attack,88,90,0,2,0.0,0.022222222222222223,0.011111111111111112,0.021739130434782608,1.0217391304347827,0.9888888888888888,AfterSplit,GenAugSpoofOnly_KF,10,0.05,1,4,Warped_Photo_Attack,2
28,4,1,Warped_Photo_Attack,88,90,0,2,0.0,0.022222222222222223,0.011111111111111112,0.021739130434782608,1.0217391304347827,0.9888888888888888,AfterSplit,GenAugSpoofOnly_KF,10,0.05,1,4,Warped_Photo_Attack,1
29,4,0,Warped_Photo_Attack,88,90,0,2,0.0,0.022222222222222223,0.011111111111111112,0.021739130434782608,1.0217391304347827,0.9888888888888888,AfterSplit,GenAugSpoofOnly_KF,10,0.05,1,4,Warped_Photo_Attack,0
30,2,2,Normal_Quality,28,89,1,2,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,1.0526315789473684,0.9611111111111111,AfterSplit,GenAugSpoofOnly_KF,10,0.05,2,2,Normal_Quality,2
31,2,1,Normal_Quality,28,89,1,2,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,1.0526315789473684,0.9611111111111111,AfterSplit,GenAugSpoofOnly_KF,10,0.05,2,2,Normal_Quality,1
32,2,0,Normal_Quality,28,89,1,2,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,1.0526315789473684,0.9611111111111111,AfterSplit,GenAugSpoofOnly_KF,10,0.05,2,2,Normal_Quality,0
33,2,2,Normal_Quality,28,89,1,2,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,1.0526315789473684,0.9611111111111111,AfterSplit,GenAugSpoofOnly_KF,10,0.2,1,2,Normal_Quality,2
34,2,1,Normal_Quality,28,88,2,2,0.022222222222222223,0.06666666666666667,0.044444444444444446,0.06382978723404256,1.0425531914893615,0.9555555555555556,AfterSplit,GenAugSpoofOnly_KF,10,0.2,1,2,Normal_Quality,1
35,2,0,Normal_Quality,28,89,1,2,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,1.0526315789473684,0.9611111111111111,AfterSplit,GenAugSpoofOnly_KF,10,0.2,1,2,Normal_Quality,0
36,5,2,Cut_Photo_Attack,89,89,1,1,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111153,1.0,0.9888888888888889,AfterSplit,GenAugSpoofOnly_KF,10,0.2,2,5,Cut_Photo_Attack,2
37,5,1,Cut_Photo_Attack,89,89,1,1,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111153,1.0,0.9888888888888889,AfterSplit,GenAugSpoofOnly_KF,10,0.2,2,5,Cut_Photo_Attack,1
38,5,0,Cut_Photo_Attack,88,89,1,2,0.011111111111111112,0.022222222222222223,0.016666666666666666,0.02197802197802198,1.010989010989011,0.9833333333333334,AfterSplit,GenAugSpoofOnly_KF,10,0.2,2,5,Cut_Photo_Attack,0
39,1,2,Low_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.1,2,1,Low_Quality,2
40,1,1,Low_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.1,2,1,Low_Quality,1
41,1,0,Low_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.1,2,1,Low_Quality,0
42,6,2,Video_Replay_Attack,86,90,0,4,0.0,0.044444444444444446,0.022222222222222223,0.0425531914893617,1.0425531914893618,0.9777777777777779,AfterSplit,GenAugSpoofOnly_KF,10,0.05,1,6,Video_Replay_Attack,2
43,6,1,Video_Replay_Attack,86,90,0,4,0.0,0.044444444444444446,0.022222222222222223,0.0425531914893617,1.0425531914893618,0.9777777777777779,AfterSplit,GenAugSpoofOnly_KF,10,0.05,1,6,Video_Replay_Attack,1
44,6,0,Video_Replay_Attack,86,90,0,4,0.0,0.044444444444444446,0.022222222222222223,0.0425531914893617,1.0425531914893618,0.9777777777777779,AfterSplit,GenAugSpoofOnly_KF,10,0.05,1,6,Video_Replay_Attack,0
45,7,2,All_Categories,88,269,1,2,0.003703703703703704,0.022222222222222223,0.012962962962962964,0.02181818181818182,1.018181818181818,0.9870370370370372,AfterSplit,GenAugSpoofOnly_KF,10,0.1,2,7,All_Categories,2
46,7,1,All_Categories,89,268,2,1,0.007407407407407408,0.011111111111111112,0.009259259259259259,0.011070110701107012,1.003690036900369,0.9907407407407408,AfterSplit,GenAugSpoofOnly_KF,10,0.1,2,7,All_Categories,1
47,7,0,All_Categories,88,269,1,2,0.003703703703703704,0.022222222222222223,0.012962962962962964,0.02181818181818182,1.018181818181818,0.9870370370370372,AfterSplit,GenAugSpoofOnly_KF,10,0.1,2,7,All_Categories,0
48,5,2,Cut_Photo_Attack,89,89,1,1,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111153,1.0,0.9888888888888889,AfterSplit,GenAugSpoofOnly_KF,10,0.3,1,5,Cut_Photo_Attack,2
49,5,1,Cut_Photo_Attack,88,89,1,2,0.011111111111111112,0.022222222222222223,0.016666666666666666,0.02197802197802198,1.010989010989011,0.9833333333333334,AfterSplit,GenAugSpoofOnly_KF,10,0.3,1,5,Cut_Photo_Attack,1
50,5,0,Cut_Photo_Attack,88,89,1,2,0.011111111111111112,0.022222222222222223,0.016666666666666666,0.02197802197802198,1.010989010989011,0.9833333333333334,AfterSplit,GenAugSpoofOnly_KF,10,0.3,1,5,Cut_Photo_Attack,0
51,5,2,Cut_Photo_Attack,89,89,1,1,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111153,1.0,0.9888888888888889,AfterSplit,GenAugSpoofOnly_KF,10,0.2,1,5,Cut_Photo_Attack,2
52,5,1,Cut_Photo_Attack,89,89,1,1,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111153,1.0,0.9888888888888889,AfterSplit,GenAugSpoofOnly_KF,10,0.2,1,5,Cut_Photo_Attack,1
53,5,0,Cut_Photo_Attack,88,89,1,2,0.011111111111111112,0.022222222222222223,0.016666666666666666,0.02197802197802198,1.010989010989011,0.9833333333333334,AfterSplit,GenAugSpoofOnly_KF,10,0.2,1,5,Cut_Photo_Attack,0
54,7,2,All_Categories,88,269,1,2,0.003703703703703704,0.022222222222222223,0.012962962962962964,0.02181818181818182,1.018181818181818,0.9870370370370372,AfterSplit,GenAugSpoofOnly_KF,10,0.3,2,7,All_Categories,2
55,7,1,All_Categories,88,269,1,2,0.003703703703703704,0.022222222222222223,0.012962962962962964,0.02181818181818182,1.018181818181818,0.9870370370370372,AfterSplit,GenAugSpoofOnly_KF,10,0.3,2,7,All_Categories,1
56,7,0,All_Categories,88,269,1,2,0.003703703703703704,0.022222222222222223,0.012962962962962964,0.02181818181818182,1.018181818181818,0.9870370370370372,AfterSplit,GenAugSpoofOnly_KF,10,0.3,2,7,All_Categories,0
57,6,2,Video_Replay_Attack,86,90,0,4,0.0,0.044444444444444446,0.022222222222222223,0.0425531914893617,1.0425531914893618,0.9777777777777779,AfterSplit,GenAugSpoofOnly_KF,10,0.1,2,6,Video_Replay_Attack,2
