protocol_number,protocol,when_aug_performed,aug_type,config/HP_AUG_PER,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC
1,Low_Quality,AfterSplit,GenAugSpoofOnly,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,GenAugSpoofOnly,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,GenAugSpoofOnly,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,GenAugSpoofOnly,0.3,90.0,29.833333333333332,0.16666666666666666,0.0,0.0,0.005555555555555556,0.002777777777777778,0.005376344086021505,0.9972222222222222
1,Low_Quality,AfterSplit,GenAugSpoofOnly_KF,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,GenAugSpoofOnly_KF,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,GenAugSpoofOnly_KF,0.2,90.0,29.833333333333332,0.16666666666666666,0.0,0.0,0.005555555555555556,0.002777777777777778,0.005376344086021505,0.9972222222222222
1,Low_Quality,AfterSplit,GenAugSpoofOnly_KF,0.3,90.0,29.833333333333332,0.16666666666666666,0.0,0.0,0.005555555555555556,0.002777777777777778,0.005376344086021505,0.9972222222222222
1,Low_Quality,AfterSplit,TradAugSpoofOnly,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,TradAugSpoofOnly,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,TradAugSpoofOnly,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,AfterSplit,TradAugSpoofOnly,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,TradAugSpoofOnly,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,TradAugSpoofOnly,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,TradAugSpoofOnly,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,BeforeSplit,TradAugSpoofOnly,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Low_Quality,None,Baseline,0,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,Normal_Quality,AfterSplit,GenAugSpoofOnly,0.05,89.0,28.0,2.0,1.0,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,0.9611111111111111
2,Normal_Quality,AfterSplit,GenAugSpoofOnly,0.1,89.0,28.0,2.0,1.0,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,0.9611111111111111
2,Normal_Quality,AfterSplit,GenAugSpoofOnly,0.2,88.83333333333333,28.0,2.0,1.1666666666666667,0.012962962962962963,0.06666666666666667,0.03981481481481482,0.06326987681970885,0.9601851851851851
2,Normal_Quality,AfterSplit,GenAugSpoofOnly,0.3,89.0,28.0,2.0,1.0,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,0.9611111111111111
2,Normal_Quality,AfterSplit,GenAugSpoofOnly_KF,0.05,89.0,28.0,2.0,1.0,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,0.9611111111111111
2,Normal_Quality,AfterSplit,GenAugSpoofOnly_KF,0.1,89.0,28.0,2.0,1.0,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,0.9611111111111111
2,Normal_Quality,AfterSplit,GenAugSpoofOnly_KF,0.2,89.0,28.0,2.0,1.0,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,0.9611111111111111
2,Normal_Quality,AfterSplit,GenAugSpoofOnly_KF,0.3,89.0,28.0,2.0,1.0,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,0.9611111111111111
2,Normal_Quality,AfterSplit,TradAugSpoofOnly,0.05,89.0,28.0,2.0,1.0,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,0.9611111111111111
2,Normal_Quality,AfterSplit,TradAugSpoofOnly,0.1,88.83333333333333,28.0,2.0,1.1666666666666667,0.012962962962962963,0.06666666666666667,0.03981481481481482,0.06326987681970885,0.9601851851851851
2,Normal_Quality,AfterSplit,TradAugSpoofOnly,0.2,89.0,28.0,2.0,1.0,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,0.9611111111111111
2,Normal_Quality,AfterSplit,TradAugSpoofOnly,0.3,89.0,28.0,2.0,1.0,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,0.9611111111111111
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.05,89.0,28.0,2.0,1.0,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,0.9611111111111111
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.1,89.0,28.0,2.0,1.0,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,0.9611111111111111
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.2,89.0,28.0,2.0,1.0,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,0.9611111111111111
