protocol_number,protocol,config/HP_AUG_PER,aug_type,when_aug_performed,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC,config/HP_REPEAT,fold_number
1,Low_Quality,0.0,Baseline,None,16140.833333333334,4779.166666666667,50.833333333333336,15.166666666666666,0.0009387637203927833,0.010524499654934384,0.005731631687663583,0.010420562914367234,0.9942683683123362,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,0.05,GenAugSpoofOnly,AfterSplit,16141.083333333334,4773.5,56.5,14.916666666666668,0.0009232895931335667,0.011697722567287733,0.006310506080210649,0.011571355419642208,0.9936894939197893,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,0.05,GenAugSpoofOnly,BeforeSplit,16141.25,4777.416666666666,52.58333333333333,14.75,0.0009129735082940666,0.010886818495514108,0.005899896001904083,0.010776144441937776,0.9941001039980958,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,0.05,TradAugSpoofOnly,AfterSplit,16136.166666666666,4758.166666666667,71.83333333333333,19.833333333333332,0.0012276140958982834,0.014872325741890917,0.008049969918894583,0.014644806527325466,0.9919500300811053,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,0.05,TradAugSpoofOnly,BeforeSplit,16144.833333333334,4770.166666666667,59.833333333333336,11.166666666666666,0.0006911776842452168,0.012387853692201467,0.00653951568822335,0.01223791962569145,0.9934604843117767,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,0.1,GenAugSpoofOnly,AfterSplit,16141.5,4771.166666666666,58.83333333333333,14.5,0.0008974993810348334,0.01218081435472735,0.006539156867881108,0.012041940300342443,0.9934608431321188,90.0,29.916666666666664,0.08333333333333333,0.0,0.0,0.002777777777777775,0.0013888888888888833,0.00268817204301075,0.9986111111111111,1.5,1.0
1,Low_Quality,0.1,GenAugSpoofOnly,BeforeSplit,16143.25,4771.75,58.25,12.75,0.0007891804902203001,0.012060041407867442,0.006424610949043858,0.011923547616503681,0.9935753890509561,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,0.1,TradAugSpoofOnly,AfterSplit,16145.5,4769.833333333333,60.166666666666664,10.5,0.0006499133448873,0.012456866804692867,0.006553390074790083,0.012305483109110768,0.99344660992521,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,0.1,TradAugSpoofOnly,BeforeSplit,16146.0,4768.333333333333,61.666666666666664,10.0,0.0006189650903688833,0.012767425810904032,0.006693195450636433,0.012607519350475833,0.9933068045493636,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,0.2,GenAugSpoofOnly,AfterSplit,16141.833333333332,4770.416666666666,59.58333333333333,14.166666666666668,0.000876867211355875,0.012336093857832934,0.006606480534594417,0.012190573786558393,0.9933935194654056,90.0,29.916666666666664,0.08333333333333333,0.0,0.0,0.002777777777777775,0.0013888888888888833,0.00268817204301075,0.9986111111111111,1.5,1.0
