protocol_number,protocol,when_aug_performed,aug_type,config/HP_AUG_PER,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.05,88.5,28.0,2.0,1.5,0.016666666666666666,0.06666666666666667,0.041666666666666664,0.06349624920227818,0.9583333333333334
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.1,88.33333333333333,28.0,2.0,1.6666666666666667,0.01851851851851852,0.06666666666666667,0.04259259259259259,0.06360582306830907,0.9574074074074074
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.2,88.66666666666667,28.0,2.0,1.3333333333333333,0.014814814814814815,0.06666666666666667,0.040740740740740744,0.0633818589025756,0.9592592592592593
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly,0.3,88.66666666666667,28.0,2.0,1.3333333333333333,0.014814814814814815,0.06666666666666667,0.040740740740740744,0.0633818589025756,0.9592592592592593
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.05,88.16666666666667,28.0,2.0,1.8333333333333333,0.020370370370370372,0.06666666666666667,0.04351851851851852,0.06371780515117582,0.9564814814814815
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.1,88.16666666666667,28.0,2.0,1.8333333333333333,0.020370370370370372,0.06666666666666667,0.04351851851851852,0.0637226215848475,0.9564814814814815
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.2,88.5,28.0,2.0,1.5,0.016666666666666666,0.06666666666666667,0.041666666666666664,0.06349384098544233,0.9583333333333334
2,Normal_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.3,88.16666666666667,28.0,2.0,1.8333333333333333,0.020370370370370372,0.06666666666666667,0.04351851851851852,0.06371780515117582,0.9564814814814815
2,Normal_Quality,BeforeSplit,TradAugSpoofOnly,0.05,88.5,28.0,2.0,1.5,0.016666666666666666,0.06666666666666667,0.041666666666666664,0.06349384098544233,0.9583333333333334
2,Normal_Quality,BeforeSplit,TradAugSpoofOnly,0.1,88.33333333333333,28.0,2.0,1.6666666666666667,0.01851851851851852,0.06666666666666667,0.04259259259259259,0.06360582306830907,0.9574074074074074
2,Normal_Quality,BeforeSplit,TradAugSpoofOnly,0.2,88.5,28.0,2.0,1.5,0.016666666666666666,0.06666666666666667,0.041666666666666664,0.06349384098544233,0.9583333333333334
2,Normal_Quality,BeforeSplit,TradAugSpoofOnly,0.3,88.5,28.0,2.0,1.5,0.016666666666666666,0.06666666666666667,0.041666666666666664,0.06349384098544233,0.9583333333333334
2,Normal_Quality,None,Baseline,0,88.16666666666667,28.0,2.0,1.8333333333333333,0.020370370370370372,0.06666666666666667,0.04351851851851852,0.0637226215848475,0.9564814814814815
3,High_Quality,AfterSplit,GenAugSpoofOnly,0.05,89.83333333333333,30.0,0.0,0.16666666666666666,0.001851851851851852,0.0,0.000925925925925926,0.001831501831501825,0.9990740740740741
3,High_Quality,AfterSplit,GenAugSpoofOnly,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,High_Quality,AfterSplit,GenAugSpoofOnly,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,High_Quality,AfterSplit,GenAugSpoofOnly,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,High_Quality,AfterSplit,GenAugSpoofOnly_KF,0.05,89.83333333333333,30.0,0.0,0.16666666666666666,0.001851851851851852,0.0,0.000925925925925926,0.001831501831501825,0.9990740740740741
3,High_Quality,AfterSplit,GenAugSpoofOnly_KF,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,High_Quality,AfterSplit,GenAugSpoofOnly_KF,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,High_Quality,AfterSplit,GenAugSpoofOnly_KF,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,High_Quality,AfterSplit,TradAugSpoofOnly,0.05,89.83333333333333,30.0,0.0,0.16666666666666666,0.001851851851851852,0.0,0.000925925925925926,0.001831501831501825,0.9990740740740741
3,High_Quality,AfterSplit,TradAugSpoofOnly,0.1,89.83333333333333,30.0,0.0,0.16666666666666666,0.001851851851851852,0.0,0.000925925925925926,0.001831501831501825,0.9990740740740741
3,High_Quality,AfterSplit,TradAugSpoofOnly,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,High_Quality,AfterSplit,TradAugSpoofOnly,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,High_Quality,BeforeSplit,GenAugSpoofOnly,0.05,89.83333333333333,30.0,0.0,0.16666666666666666,0.001851851851851852,0.0,0.000925925925925926,0.001831501831501825,0.9990740740740741
3,High_Quality,BeforeSplit,GenAugSpoofOnly,0.1,89.83333333333333,30.0,0.0,0.16666666666666666,0.001851851851851852,0.0,0.000925925925925926,0.001831501831501825,0.9990740740740741
3,High_Quality,BeforeSplit,GenAugSpoofOnly,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,High_Quality,BeforeSplit,GenAugSpoofOnly,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,High_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,High_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.1,89.83333333333333,30.0,0.0,0.16666666666666666,0.001851851851851852,0.0,0.000925925925925926,0.001831501831501825,0.9990740740740741
3,High_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,High_Quality,BeforeSplit,GenAugSpoofOnly_KF,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,High_Quality,BeforeSplit,TradAugSpoofOnly,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,High_Quality,BeforeSplit,TradAugSpoofOnly,0.1,89.83333333333333,30.0,0.0,0.16666666666666666,0.001851851851851852,0.0,0.000925925925925926,0.001831501831501825,0.9990740740740741
3,High_Quality,BeforeSplit,TradAugSpoofOnly,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,High_Quality,BeforeSplit,TradAugSpoofOnly,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,High_Quality,None,Baseline,0,89.83333333333333,30.0,0.0,0.16666666666666666,0.001851851851851852,0.0,0.000925925925925926,0.001831501831501825,0.9990740740740741
4,Warped_Photo_Attack,AfterSplit,GenAugSpoofOnly,0.05,89.0,88.5,1.5,1.0,0.011111111111111112,0.016666666666666666,0.01388888888888889,0.016544566544566566,0.9861111111111112
4,Warped_Photo_Attack,AfterSplit,GenAugSpoofOnly,0.1,89.0,88.5,1.5,1.0,0.011111111111111112,0.016666666666666666,0.01388888888888889,0.016544566544566566,0.9861111111111112
4,Warped_Photo_Attack,AfterSplit,GenAugSpoofOnly,0.2,88.66666666666667,88.66666666666667,1.3333333333333333,1.3333333333333333,0.014814814814814815,0.014814814814814815,0.014814814814814815,0.018355718355719673,0.9851851851851853
4,Warped_Photo_Attack,AfterSplit,GenAugSpoofOnly,0.3,88.66666666666667,88.33333333333333,1.6666666666666667,1.3333333333333333,0.014814814814814815,0.01851851851851852,0.016666666666666666,0.021978021978023277,0.9833333333333334
4,Warped_Photo_Attack,AfterSplit,GenAugSpoofOnly_KF,0.05,89.0,88.66666666666667,1.3333333333333333,1.0,0.011111111111111112,0.014814814814814815,0.012962962962962963,0.01652421652421719,0.987037037037037
4,Warped_Photo_Attack,AfterSplit,GenAugSpoofOnly_KF,0.1,88.83333333333333,88.83333333333333,1.1666666666666667,1.1666666666666667,0.012962962962962963,0.012962962962962963,0.012962962962962963,0.01652421652421784,0.987037037037037
4,Warped_Photo_Attack,AfterSplit,GenAugSpoofOnly_KF,0.2,89.0,88.66666666666667,1.3333333333333333,1.0,0.011111111111111112,0.014814814814814815,0.012962962962962963,0.014733414733414761,0.987037037037037
4,Warped_Photo_Attack,AfterSplit,GenAugSpoofOnly_KF,0.3,88.83333333333333,88.83333333333333,1.1666666666666667,1.1666666666666667,0.012962962962962963,0.012962962962962963,0.012962962962962963,0.016504751287361303,0.987037037037037
4,Warped_Photo_Attack,AfterSplit,TradAugSpoofOnly,0.05,89.16666666666667,88.0,2.0,0.8333333333333334,0.00925925925925926,0.022222222222222223,0.01574074074074074,0.02193820672081542,0.9842592592592593
4,Warped_Photo_Attack,AfterSplit,TradAugSpoofOnly,0.1,89.0,88.16666666666667,1.8333333333333333,1.0,0.011111111111111112,0.020370370370370372,0.01574074074074074,0.020166870166870177,0.9842592592592593
4,Warped_Photo_Attack,AfterSplit,TradAugSpoofOnly,0.2,89.0,88.33333333333333,1.6666666666666667,1.0,0.011111111111111112,0.01851851851851852,0.014814814814814815,0.01835571835571837,0.9851851851851853
4,Warped_Photo_Attack,AfterSplit,TradAugSpoofOnly,0.3,89.0,88.5,1.5,1.0,0.011111111111111112,0.016666666666666666,0.01388888888888889,0.016544566544566566,0.9861111111111112
4,Warped_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.05,89.0,88.5,1.5,1.0,0.011111111111111112,0.016666666666666666,0.01388888888888889,0.01831590309851246,0.9861111111111112
4,Warped_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.1,88.66666666666667,88.5,1.5,1.3333333333333333,0.014814814814814815,0.016666666666666666,0.01574074074074074,0.01839641839641962,0.9842592592592593
4,Warped_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.2,88.5,88.16666666666667,1.8333333333333333,1.5,0.016666666666666666,0.020370370370370372,0.01851851851851852,0.02028897028897197,0.9814814814814815
4,Warped_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.3,88.66666666666667,88.83333333333333,1.1666666666666667,1.3333333333333333,0.014814814814814815,0.012962962962962963,0.01388888888888889,0.016544566544567867,0.9861111111111112
4,Warped_Photo_Attack,BeforeSplit,GenAugSpoofOnly_KF,0.05,89.0,88.83333333333333,1.1666666666666667,1.0,0.011111111111111112,0.012962962962962963,0.012037037037037039,0.012922262922262957,0.987962962962963
4,Warped_Photo_Attack,BeforeSplit,GenAugSpoofOnly_KF,0.1,88.66666666666667,88.33333333333333,1.6666666666666667,1.3333333333333333,0.014814814814814815,0.01851851851851852,0.016666666666666666,0.020207570207571423,0.9833333333333334
4,Warped_Photo_Attack,BeforeSplit,GenAugSpoofOnly_KF,0.2,88.83333333333333,88.83333333333333,1.1666666666666667,1.1666666666666667,0.012962962962962963,0.012962962962962963,0.012962962962962963,0.014733414733415412,0.987037037037037
4,Warped_Photo_Attack,BeforeSplit,GenAugSpoofOnly_KF,0.3,88.83333333333333,88.5,1.5,1.1666666666666667,0.012962962962962963,0.016666666666666666,0.014814814814814815,0.01835571835571902,0.9851851851851853
4,Warped_Photo_Attack,BeforeSplit,TradAugSpoofOnly,0.05,89.33333333333333,88.16666666666667,1.8333333333333333,0.6666666666666666,0.007407407407407408,0.020370370370370372,0.013888888888888888,0.02008723965245705,0.9861111111111112
4,Warped_Photo_Attack,BeforeSplit,TradAugSpoofOnly,0.1,89.16666666666667,88.5,1.5,0.8333333333333334,0.00925925925925926,0.016666666666666666,0.012962962962962963,0.01652421652421654,0.987037037037037
4,Warped_Photo_Attack,BeforeSplit,TradAugSpoofOnly,0.2,89.0,88.66666666666667,1.3333333333333333,1.0,0.011111111111111112,0.014814814814814815,0.012962962962962963,0.014733414733414761,0.987037037037037
4,Warped_Photo_Attack,BeforeSplit,TradAugSpoofOnly,0.3,89.0,88.66666666666667,1.3333333333333333,1.0,0.011111111111111112,0.014814814814814815,0.012962962962962963,0.014733414733414761,0.987037037037037
4,Warped_Photo_Attack,None,Baseline,0,88.83333333333333,88.66666666666667,1.3333333333333333,1.1666666666666667,0.012962962962962963,0.014814814814814815,0.01388888888888889,0.018315903098511815,0.9861111111111112
5,Cut_Photo_Attack,AfterSplit,GenAugSpoofOnly,0.05,88.83333333333333,88.83333333333333,1.1666666666666667,1.1666666666666667,0.012962962962962963,0.012962962962962963,0.012962962962962963,0.014733414733415412,0.987037037037037
5,Cut_Photo_Attack,AfterSplit,GenAugSpoofOnly,0.1,89.0,89.0,1.0,1.0,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111153,0.9888888888888889
5,Cut_Photo_Attack,AfterSplit,GenAugSpoofOnly,0.2,88.83333333333333,89.0,1.0,1.1666666666666667,0.012962962962962963,0.011111111111111112,0.012037037037037039,0.012922262922263608,0.987962962962963
5,Cut_Photo_Attack,AfterSplit,GenAugSpoofOnly,0.3,89.0,88.33333333333333,1.6666666666666667,1.0,0.011111111111111112,0.01851851851851852,0.014814814814814815,0.01835571835571837,0.9851851851851853
5,Cut_Photo_Attack,AfterSplit,GenAugSpoofOnly_KF,0.05,89.0,88.83333333333333,1.1666666666666667,1.0,0.011111111111111112,0.012962962962962963,0.012037037037037035,0.012922262922262957,0.987962962962963
5,Cut_Photo_Attack,AfterSplit,GenAugSpoofOnly_KF,0.1,89.0,88.83333333333333,1.1666666666666667,1.0,0.011111111111111112,0.012962962962962963,0.012037037037037039,0.012922262922262957,0.987962962962963
5,Cut_Photo_Attack,AfterSplit,GenAugSpoofOnly_KF,0.2,89.0,88.66666666666667,1.3333333333333333,1.0,0.011111111111111112,0.014814814814814815,0.012962962962962963,0.014733414733414761,0.987037037037037
5,Cut_Photo_Attack,AfterSplit,GenAugSpoofOnly_KF,0.3,89.16666666666667,88.16666666666667,1.8333333333333333,0.8333333333333334,0.00925925925925926,0.020370370370370372,0.014814814814814815,0.020127054909663614,0.9851851851851853
5,Cut_Photo_Attack,AfterSplit,TradAugSpoofOnly,0.05,89.0,88.0,2.0,1.0,0.011111111111111112,0.022222222222222223,0.016666666666666666,0.02197802197802198,0.9833333333333334
5,Cut_Photo_Attack,AfterSplit,TradAugSpoofOnly,0.1,89.0,88.0,2.0,1.0,0.011111111111111112,0.022222222222222223,0.016666666666666666,0.02197802197802198,0.9833333333333334
5,Cut_Photo_Attack,AfterSplit,TradAugSpoofOnly,0.2,89.83333333333333,88.0,2.0,0.16666666666666666,0.001851851851851852,0.022222222222222223,0.012037037037037039,0.02177894569198917,0.9879629629629628
5,Cut_Photo_Attack,AfterSplit,TradAugSpoofOnly,0.3,89.66666666666667,88.0,2.0,0.3333333333333333,0.003703703703703704,0.022222222222222223,0.012962962962962963,0.021818760949195732,0.987037037037037
5,Cut_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.05,88.83333333333333,89.0,1.0,1.1666666666666667,0.012962962962962963,0.011111111111111112,0.012037037037037035,0.012922262922263608,0.987962962962963
5,Cut_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.1,88.83333333333333,89.0,1.0,1.1666666666666667,0.012962962962962963,0.011111111111111112,0.012037037037037039,0.012922262922263608,0.987962962962963
5,Cut_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.2,89.0,89.0,1.0,1.0,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111153,0.9888888888888889
5,Cut_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.3,88.83333333333333,88.83333333333333,1.1666666666666667,1.1666666666666667,0.012962962962962963,0.012962962962962963,0.012962962962962963,0.014733414733415412,0.987037037037037
5,Cut_Photo_Attack,BeforeSplit,GenAugSpoofOnly_KF,0.05,89.0,89.0,1.0,1.0,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111153,0.9888888888888889
