protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC
1,AfterSplit,GenAugSpoofOnly,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,AfterSplit,GenAugSpoofOnly,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,AfterSplit,GenAugSpoofOnly,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,AfterSplit,GenAugSpoofOnly,0.3,90.0,29.833333333333332,0.16666666666666666,0.0,0.0,0.005555555555555556,0.002777777777777778,0.005376344086021505,0.9972222222222222
1,AfterSplit,GenAugSpoofOnly_KF,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,AfterSplit,GenAugSpoofOnly_KF,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,AfterSplit,GenAugSpoofOnly_KF,0.2,90.0,29.833333333333332,0.16666666666666666,0.0,0.0,0.005555555555555556,0.002777777777777778,0.005376344086021505,0.9972222222222222
1,AfterSplit,GenAugSpoofOnly_KF,0.3,90.0,29.833333333333332,0.16666666666666666,0.0,0.0,0.005555555555555556,0.002777777777777778,0.005376344086021505,0.9972222222222222
1,AfterSplit,TradAugSpoofOnly,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,AfterSplit,TradAugSpoofOnly,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,AfterSplit,TradAugSpoofOnly,0.2,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,AfterSplit,TradAugSpoofOnly,0.3,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,BeforeSplit,GenAugSpoofOnly,0.05,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,BeforeSplit,GenAugSpoofOnly,0.1,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
