protocol_number,protocol,when_aug_performed,aug_type,config/HP_AUG_PER,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC,config/HP_REPEAT,fold_number
2,LOO_ASUS,BeforeSplit,GenAugSpoofOnly,0.05,1208.3333333333333,9299.5,82.5,147.66666666666666,0.10889872173058009,0.008793434235770567,0.058846077983175316,0.09854783869731609,0.9411539220168246,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_ASUS,BeforeSplit,GenAugSpoofOnly,0.1,1221.1666666666667,9085.833333333334,296.1666666666667,134.83333333333334,0.09943461160275315,0.03156754068073612,0.06550107614174464,0.09345086952769584,0.9344989238582553,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_ASUS,BeforeSplit,GenAugSpoofOnly,0.2,1230.1666666666667,9278.166666666666,103.83333333333333,125.83333333333333,0.09279744346116024,0.011067291977545584,0.05193236771935292,0.0856228832612917,0.948067632280647,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_ASUS,BeforeSplit,GenAugSpoofOnly,0.3,1226.1666666666667,9124.166666666666,257.8333333333333,129.83333333333334,0.09574729596853487,0.027481702550984102,0.06161449925975948,0.08918983127543452,0.9383855007402405,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IP7P,BeforeSplit,GenAugSpoofOnly,0.05,1771.3333333333333,9174.666666666666,207.33333333333334,0.6666666666666666,0.0003762227238524667,0.02209905492787602,0.011237638825864267,0.021292392296422033,0.9887623611741357,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IP7P,BeforeSplit,GenAugSpoofOnly,0.1,1771.3333333333333,9165.0,217.0,0.6666666666666666,0.0003762227238524667,0.023129396717117834,0.011752809720485152,0.02209665461227672,0.9882471902795148,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IP7P,BeforeSplit,GenAugSpoofOnly,0.2,1771.1666666666667,9299.5,82.5,0.8333333333333334,0.0004702784048156,0.008793434235770585,0.0046318563202930665,0.00865598852921335,0.9953681436797069,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IP7P,BeforeSplit,GenAugSpoofOnly,0.3,1771.5,9194.166666666666,187.83333333333334,0.5,0.00028216704288935,0.02002060683578478,0.010151386939337067,0.019601934104280183,0.9898486130606629,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IPP2017,BeforeSplit,GenAugSpoofOnly,0.05,1470.3333333333333,9268.166666666666,113.83333333333333,266.6666666666667,0.15352139704471307,0.01213316279400265,0.08282727991935786,0.12232775647000922,0.9171727200806421,3.6666666666666665,8.0,0.0,0.3333333333333333,0.08333333333333333,0.0,0.041666666666666664,0.05555555555555555,0.9583333333333334,1.5,1.0
2,LOO_IPP2017,BeforeSplit,GenAugSpoofOnly,0.1,1509.3333333333333,9247.666666666666,134.33333333333334,227.66666666666666,0.1310688927269238,0.014318197967739602,0.07269354534733168,0.11176282200567977,0.9273064546526683,3.8333333333333335,8.0,0.0,0.16666666666666666,0.041666666666666664,0.0,0.020833333333333332,0.03333333333333333,0.9791666666666666,1.5,1.0
2,LOO_IPP2017,BeforeSplit,GenAugSpoofOnly,0.2,1557.5,9198.0,184.0,179.5,0.10333909038572248,0.019612023022809583,0.06147555670426603,0.09512449639195987,0.9385244432957339,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IPP2017,BeforeSplit,GenAugSpoofOnly,0.3,1537.3333333333333,9271.0,111.0,199.66666666666666,0.1149491460372289,0.011831166062673135,0.06339015604995103,0.10398129899746444,0.9366098439500489,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_SGS8,BeforeSplit,GenAugSpoofOnly,0.05,900.0,8923.666666666666,458.3333333333333,0.0,0.0,0.048852412420947865,0.02442620621047392,0.04455298055049748,0.975573793789526,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_SGS8,BeforeSplit,GenAugSpoofOnly,0.1,899.8333333333334,9068.666666666666,313.3333333333333,0.16666666666666666,0.00018518518518518333,0.03339728558232073,0.01679123538375295,0.031590611046547784,0.9832087646162471,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_SGS8,BeforeSplit,GenAugSpoofOnly,0.2,899.3333333333334,9037.5,344.5,0.6666666666666666,0.0007407407407407333,0.03671924962694515,0.018729995183842916,0.034630133145941516,0.981270004816157,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_SGS8,BeforeSplit,GenAugSpoofOnly,0.3,900.0,8894.0,488.0,0.0,0.0,0.05201449584310377,0.02600724792155185,0.04842011376167222,0.973992752078448,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,UnKnown_P,BeforeSplit,GenAugSpoofOnly,0.05,2086.8333333333335,9197.833333333334,184.16666666666666,114.16666666666667,0.051870361956686296,0.0196297875364172,0.035750074746551785,0.05639996580473657,0.9642499252534482,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,UnKnown_P,BeforeSplit,GenAugSpoofOnly,0.1,2126.5,9192.333333333334,189.66666666666666,74.5,0.033848250795093106,0.0202160164854686,0.027032133640280818,0.040893108367871966,0.9729678663597191,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,UnKnown_P,BeforeSplit,GenAugSpoofOnly,0.2,2129.3333333333335,9208.333333333334,173.66666666666666,71.66666666666667,0.032560957140693604,0.018510623179137316,0.025535790159915434,0.03695089088241675,0.9744642098400845,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
