protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC,config/HP_REPEAT,fold_number
1,None,Baseline,0,16140.833333333334,4779.166666666667,50.833333333333336,15.166666666666666,0.0009387637203927833,0.010524499654934384,0.005731631687663583,0.010420562914367234,0.9942683683123362,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,None,Baseline,0,15930.333333333334,4995.0,303.0,322.6666666666667,0.019852745134231565,0.05719139297848239,0.03852206905635699,0.05513265032669725,0.961477930943643,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
3,None,Baseline,0,17296.333333333332,5777.5,4.5,181.66666666666666,0.0103940191478811,0.0007782774126599334,0.0055861482802705,0.010278419654152134,0.9944138517197295,89.83333333333333,30.0,0.0,0.16666666666666666,0.00185185185185185,0.0,0.0009259259259259167,0.0018315018315018165,0.9990740740740741,1.5,1.0
4,None,Baseline,0,19154.0,15766.0,144.0,220.0,0.011355424796118466,0.009050911376492733,0.010203168086305583,0.0116567115860539,0.9897968319136944,90.0,89.16666666666667,0.8333333333333334,0.0,0.0,0.00925925925925925,0.004629629629629583,0.009157509157509083,0.9953703703703702,1.5,1.0
5,None,Baseline,0,14692.833333333334,15737.166666666666,172.83333333333334,153.16666666666666,0.010317032646279534,0.01086318877016545,0.0105901107082225,0.011204931893862768,0.9894098892917774,89.33333333333333,89.0,1.0,0.6666666666666666,0.0074074074074074,0.0111111111111111,0.009259259259259233,0.011070411070411033,0.9907407407407406,1.5,1.0
6,None,Baseline,0,15459.5,15572.5,337.5,207.5,0.0132443990553392,0.021213073538654884,0.01722873629699705,0.02104464260378265,0.9827712637030029,89.16666666666667,87.83333333333333,2.1666666666666665,0.8333333333333334,0.00925925925925925,0.02407407407407405,0.016666666666666618,0.02370998566650735,0.9833333333333334,1.5,1.0
7,None,Baseline,0,49352.0,15629.166666666666,280.8333333333333,535.0,0.0107242367751117,0.017651372302535065,0.014187804538823382,0.017528357880028683,0.9858121954611766,269.1666666666667,88.33333333333333,1.6666666666666667,0.8333333333333334,0.0030864197530864165,0.0185185185185185,0.010802469135802434,0.018208749903123267,0.9891975308641977,1.5,1.0
