,,,,TP,TP,TP,TP,TP,TP,TP,TP,TN,TN,TN,TN,TN,TN,TN,TN,FP,FP,FP,FP,FP,FP,FP,FP,FN,FN,FN,FN,FN,FN,FN,FN,APCER,APCER,APCER,APCER,APCER,APCER,APCER,APCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,BPCER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,ACER,EER,EER,EER,EER,EER,EER,EER,EER,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TP,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_TN,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FP,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_FN,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_APCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_BPCER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_ACER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_EER,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,Multi_AUC,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,config/HP_REPEAT,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number,fold_number
,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,None,Baseline,0,6.0,16140.833333333334,2.228601953392904,16138.0,16139.0,16142.0,16142.0,16143.0,6.0,4779.166666666667,10.59087657687817,4766.0,4774.0,4778.0,4782.0,4797.0,6.0,50.833333333333336,10.59087657687817,33.0,48.0,52.0,56.0,64.0,6.0,15.166666666666666,2.228601953392904,13.0,14.0,14.0,17.0,18.0,6.0,0.0009387637203927833,0.00013794268094783683,0.0008046546174795,0.0008665511265164,0.0008665511265164,0.0010522406536271,0.001114137162664,6.0,0.010524499654934384,0.0021927280697470355,0.0068322981366459,0.0099378881987577,0.0107660455486542,0.0115942028985507,0.0132505175983436,6.0,0.005731631687663584,0.0010654673424649805,0.0039732176496549,0.0054022196626371,0.0058008242103261,0.00631548471245925,0.00705853436243,6.0,0.010420562914367234,0.002151266341055793,0.0067934520840602,0.0098485486938831,0.0106594953522772,0.01147307682384695,0.0130884309088002,6.0,0.9942683683123362,0.001065467342464902,0.99294146563757,0.9936845152875405,0.9941991757896738,0.9945977803373628,0.9960267823503448,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
2,None,Baseline,0,6.0,15930.333333333334,47.170612320243066,15867.0,15899.5,15935.0,15952.5,15999.0,6.0,4995.0,6.29285308902091,4984.0,4993.0,4997.0,4998.0,5002.0,6.0,303.0,6.29285308902091,296.0,300.0,301.0,305.0,314.0,6.0,322.6666666666667,47.170612320243066,254.0,300.5,318.0,353.5,386.0,6.0,0.019852745134231565,0.0029022711081180654,0.0156278840829385,0.018488894357964625,0.01956561865501745,0.02174983080046755,0.0237494616378514,6.0,0.05719139297848241,0.0011877789900001776,0.0558701396753491,0.0566251415628539,0.05681389203473005,0.05756889392223473,0.0592676481691204,6.0,0.03852206905635699,0.001682297166920054,0.0357490118791438,0.037988749970182874,0.03869656423971855,0.03928707287236125,0.0407535530159812,6.0,0.05513265032669725,0.0011226195566299518,0.0537087773304609,0.05461307683094608,0.05486139307576625,0.055638072883795325,0.0569370675757124,6.0,0.961477930943643,0.0016822971669201228,0.9592464469840186,0.9607129271276387,0.9613034357602814,0.9620112500298171,0.9642509881208562,6.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,6.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.0666666666666666,0.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,6.0,0.0388888888888888,0.0,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,0.0388888888888888,6.0,0.0631578947368421,0.0,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,0.0631578947368421,6.0,0.9611111111111112,0.0,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,0.9611111111111112,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
3,None,Baseline,0,6.0,17296.333333333332,79.41452428030193,17156.0,17271.5,17314.5,17354.5,17368.0,6.0,5777.5,2.073644135332772,5774.0,5777.0,5777.5,5778.75,5780.0,6.0,4.5,2.073644135332772,2.0,3.25,4.5,5.0,8.0,6.0,181.66666666666666,79.41452428030193,110.0,123.5,163.5,206.5,322.0,6.0,0.010394019147881099,0.004543684877005491,0.0062936262730289,0.00706602586108245,0.009354617233093,0.0118148529580043,0.0184231605446847,6.0,0.0007782774126599334,0.00035863786498317144,0.0003459010722933,0.000562089242476575,0.00077827741265995,0.0008647526807333,0.0013836042891732,6.0,0.0055861482802705,0.0022838963633358363,0.0034927142088077,0.003922151636871175,0.0051529225909498,0.00621008991725875,0.009643956612709,6.0,0.010278419654152134,0.004437673891853925,0.006258566882381,0.00702105654650545,0.009276339187274399,0.011682621807264575,0.0181052609878059,6.0,0.9944138517197295,0.0022838963633358667,0.990356043387291,0.9937899100827411,0.9948470774090502,0.9960778483631287,0.9965072857911924,6.0,89.83333333333333,0.408248290463863,89.0,90.0,90.0,90.0,90.0,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.16666666666666666,0.408248290463863,0.0,0.0,0.0,0.0,1.0,6.0,0.00185185185185185,0.004536092116265139,0.0,0.0,0.0,0.0,0.0111111111111111,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0009259259259259167,0.0022680460581325497,0.0,0.0,0.0,0.0,0.0055555555555555,6.0,0.0018315018315018165,0.004486244950152304,0.0,0.0,0.0,0.0,0.0109890109890109,6.0,0.9990740740740741,0.0022680460581326095,0.9944444444444444,1.0,1.0,1.0,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
4,None,Baseline,0,6.0,19154.0,43.28510136294011,19100.0,19122.0,19155.5,19179.25,19215.0,6.0,15766.0,25.043961347997644,15734.0,15751.25,15764.5,15777.0,15805.0,6.0,144.0,25.043961347997644,105.0,133.0,145.5,158.75,176.0,6.0,220.0,43.28510136294011,159.0,194.75,218.5,252.0,274.0,6.0,0.011355424796118466,0.0022341850605419673,0.0082068751935583,0.010052131722927625,0.011278001445235851,0.013007122948281151,0.014142665427893,6.0,0.009050911376492733,0.0015741019074794148,0.0065996228786926,0.008359522313010674,0.0091451917033312,0.009978001257071,0.0110622250157133,6.0,0.010203168086305583,0.0008032724384593523,0.0092260020216691,0.009590805019226175,0.01021535176090185,0.010685200223955076,0.0113378638240536,6.0,0.0116567115860539,0.001728260983036134,0.0097490874181886,0.01039901965590145,0.01126515752717245,0.012951620371518324,0.0140367853586785,6.0,0.9897968319136942,0.0008032724384593465,0.9886621361759462,0.9893147997760449,0.9897846482390982,0.9904091949807736,0.9907739979783308,6.0,90.0,0.0,90.0,90.0,90.0,90.0,90.0,6.0,89.16666666666667,0.408248290463863,89.0,89.0,89.0,89.0,90.0,6.0,0.8333333333333334,0.408248290463863,0.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.00925925925925925,0.00453609211626514,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.004629629629629583,0.0022680460581325497,0.0,0.0055555555555555,0.0055555555555555,0.0055555555555555,0.0055555555555555,6.0,0.009157509157509083,0.004486244950152304,0.0,0.0109890109890109,0.0109890109890109,0.0109890109890109,0.0109890109890109,6.0,0.9953703703703702,0.0022680460581326095,0.9944444444444444,0.9944444444444444,0.9944444444444444,0.9944444444444444,1.0,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
5,None,Baseline,0,6.0,14692.833333333334,16.892799254909374,14667.0,14685.5,14694.5,14699.75,14717.0,6.0,15737.166666666666,12.351787994726378,15723.0,15726.25,15738.0,15746.75,15752.0,6.0,172.83333333333334,12.351787994726378,158.0,163.25,172.0,183.75,187.0,6.0,153.16666666666666,16.892799254909374,129.0,146.25,151.5,160.5,179.0,6.0,0.010317032646279532,0.001137868736017061,0.0086892092146032,0.009851138353765275,0.01020476896133635,0.010810992860029626,0.012057119762899,6.0,0.01086318877016545,0.0007763537394548482,0.0099308610936517,0.01026084223758635,0.010810810810810749,0.011549340037712099,0.0117536140791954,6.0,0.0105901107082225,0.0005511986371896918,0.0099071438907711,0.0101570276121247,0.0106323708235898,0.01093612523733075,0.0113328221278369,6.0,0.011204931893862768,0.0007400241664055453,0.0101794187675016,0.0106553326260991,0.01138357123713495,0.011725072382195525,0.0120315376017689,6.0,0.9894098892917774,0.0005511986371896707,0.988667177872163,0.9890638747626692,0.9893676291764102,0.9898429723878752,0.9900928561092288,6.0,89.33333333333333,0.5163977794943223,89.0,89.0,89.0,89.75,90.0,6.0,89.0,0.0,89.0,89.0,89.0,89.0,89.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,0.6666666666666666,0.5163977794943223,0.0,0.25,1.0,1.0,1.0,6.0,0.0074074074074074,0.005737753105492464,0.0,0.002777777777777775,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.0111111111111111,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.009259259259259233,0.0028688765527462574,0.0055555555555555,0.0069444444444444,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.011070411070411033,6.305223192852876e-05,0.0109890109890109,0.01101953601953595,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.9907407407407406,0.002868876552746225,0.9888888888888888,0.9888888888888888,0.9888888888888888,0.9930555555555555,0.9944444444444444,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
6,None,Baseline,0,6.0,15459.5,17.073371078963874,15443.0,15446.0,15454.5,15474.25,15481.0,6.0,15572.5,11.23832727766904,15554.0,15567.0,15577.0,15578.75,15584.0,6.0,337.5,11.23832727766904,326.0,331.25,333.0,343.0,356.0,6.0,207.5,17.073371078963874,186.0,192.75,212.5,221.0,224.0,6.0,0.0132443990553392,0.001089766456817748,0.0118720878279185,0.01230292972489945,0.013563541201251,0.014106082849301,0.0142975681368481,6.0,0.021213073538654884,0.0007063687792375304,0.02049025769956,0.0208202388434946,0.02093023255813945,0.02155876807039595,0.0223758642363293,6.0,0.01722873629699705,0.00044764246869074734,0.0163697334174162,0.017206442482982823,0.01736004894769945,0.0175037847731043,0.017575649426184,6.0,0.021044642603782648,0.000672565771102073,0.0203628571176371,0.02067285592998025,0.0207614563725301,0.021385930340154624,0.0221446749815055,6.0,0.9827712637030029,0.00044764246869071736,0.9824243505738158,0.9824962152268955,0.9826399510523006,0.9827935575170171,0.9836302665825836,6.0,89.16666666666667,0.408248290463863,89.0,89.0,89.0,89.0,90.0,6.0,87.83333333333333,0.408248290463863,87.0,88.0,88.0,88.0,88.0,6.0,2.1666666666666665,0.40824829046386296,2.0,2.0,2.0,2.0,3.0,6.0,0.8333333333333334,0.408248290463863,0.0,1.0,1.0,1.0,1.0,6.0,0.00925925925925925,0.00453609211626514,0.0,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,6.0,0.02407407407407405,0.00453609211626514,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0333333333333333,6.0,0.016666666666666618,0.003513641844631529,0.0111111111111111,0.0166666666666666,0.0166666666666666,0.0166666666666666,0.0222222222222222,6.0,0.02370998566650735,0.004360506911503452,0.0217391304347826,0.0219780219780219,0.0219780219780219,0.0219780219780219,0.0326086956521739,6.0,0.9833333333333334,0.0035136418446315553,0.9777777777777776,0.9833333333333334,0.9833333333333334,0.9833333333333334,0.9888888888888888,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
7,None,Baseline,0,6.0,49352.0,84.84809956622482,49262.0,49293.5,49336.0,49388.25,49493.0,6.0,15629.166666666666,13.182058514005568,15607.0,15624.75,15630.0,15639.0,15643.0,6.0,280.8333333333333,13.182058514005568,267.0,271.0,280.0,285.25,303.0,6.0,535.0,84.84809956622482,394.0,498.75,551.0,593.5,625.0,6.0,0.0107242367751117,0.0017008058124606653,0.0078978491390542,0.00999759456371395,0.011044961613245849,0.011896886964539825,0.0125283139896165,6.0,0.01765137230253507,0.0008285391900694887,0.016781898177247,0.017033312382149574,0.01759899434318035,0.017928975487114973,0.0190446260213702,6.0,0.014187804538823382,0.000467957422185564,0.0134712375802122,0.013916144861995225,0.0142810394483361,0.0145060382032217,0.0147179596346574,6.0,0.017528357880028687,0.0007789049632646359,0.016703815597621,0.0169495434272697,0.0174844069683404,0.0177897883323613,0.0188346800452559,6.0,0.9858121954611766,0.00046795742218551665,0.9852820403653426,0.9854939617967782,0.9857189605516639,0.9860838551380047,0.9865287624197876,6.0,269.1666666666667,0.408248290463863,269.0,269.0,269.0,269.0,270.0,6.0,88.33333333333333,0.5163977794943223,88.0,88.0,88.0,88.75,89.0,6.0,1.6666666666666667,0.5163977794943223,1.0,1.25,2.0,2.0,2.0,6.0,0.8333333333333334,0.408248290463863,0.0,1.0,1.0,1.0,1.0,6.0,0.0030864197530864165,0.0015120307054217134,0.0,0.0037037037037037,0.0037037037037037,0.0037037037037037,0.0037037037037037,6.0,0.0185185185185185,0.005737753105492463,0.0111111111111111,0.013888888888888874,0.0222222222222222,0.0222222222222222,0.0222222222222222,6.0,0.010802469135802434,0.002725852119236963,0.0074074074074074,0.008333333333333325,0.012037037037036999,0.0129629629629629,0.0129629629629629,6.0,0.018208749903123267,0.0055611756878940575,0.0110294117647058,0.013706841432225,0.0217786561264822,0.0218181818181818,0.0218181818181818,6.0,0.9891975308641977,0.00272585211923704,0.9870370370370372,0.9870370370370372,0.9879629629629629,0.9916666666666668,0.9925925925925928,6.0,1.5,0.5477225575051661,1.0,1.0,1.5,2.0,2.0,6.0,1.0,0.8944271909999159,0.0,0.25,1.0,1.75,2.0
