protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC,config/HP_REPEAT,fold_number
2,AfterSplit,GenAugSpoofOnly,0.05,1347.875,9190.458333333334,191.54166666666666,93.375,0.05844508644355404,0.02041586726355427,0.039430476853554164,0.06297134137399597,0.9605695231464458,3.4583333333333335,8.0,0.0,0.041666666666666664,0.010416666666666666,0.0,0.005208333333333333,0.008333333333333333,0.9947916666666666,1.5,1.0
2,AfterSplit,GenAugSpoofOnly,0.1,1365.2083333333333,9228.041666666666,153.95833333333334,76.04166666666667,0.049412345955280705,0.01640996944503655,0.032911157700158615,0.058843931286680716,0.9670888422998414,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,AfterSplit,GenAugSpoofOnly,0.2,1361.0416666666667,9135.0,247.0,80.20833333333333,0.051264237316259224,0.026327009166488974,0.0387956232413741,0.06693563258563658,0.9612043767586259,3.5,7.958333333333333,0.041666666666666664,0.0,0.0,0.005208333333333333,0.0026041666666666665,0.004629629629629629,0.9973958333333334,1.5,1.0
2,AfterSplit,GenAugSpoofOnly,0.3,1358.2916666666667,9248.041666666666,133.95833333333334,82.95833333333333,0.053277639845163066,0.014278227812122462,0.03377793382864275,0.059851405360393,0.9662220661713573,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
3,AfterSplit,GenAugSpoofOnly,0.05,3051.6666666666665,9325.75,56.25,931.3333333333334,0.17655316862331882,0.005995523342570825,0.09127434598294486,0.13903966850390378,0.9087256540170552,7.083333333333333,8.0,0.0,1.9166666666666667,0.1369047619047619,0.0,0.06845238095238092,0.10729847494553375,0.9315476190476191,1.5,1.0
3,AfterSplit,GenAugSpoofOnly,0.1,2809.8333333333335,9318.0,64.0,1173.1666666666667,0.23284991355213316,0.006821573225325041,0.1198357433887291,0.17223912333039212,0.880164256611271,6.166666666666667,8.0,0.0,2.8333333333333335,0.23214285714285712,0.0,0.11607142857142853,0.16712962962962963,0.8839285714285715,1.5,1.0
3,AfterSplit,GenAugSpoofOnly,0.2,2859.6666666666665,9312.75,69.25,1123.3333333333333,0.21765196744258927,0.007381155403964991,0.11251656142327714,0.16495781542268384,0.8874834385767228,6.5,8.0,0.0,2.5,0.19345238095238093,0.0,0.09672619047619045,0.14186795491143317,0.9032738095238096,1.5,1.0
3,AfterSplit,GenAugSpoofOnly,0.3,2891.3333333333335,9292.333333333334,89.66666666666667,1091.6666666666667,0.21831496866190944,0.009557308320898125,0.11393613849140377,0.17322425183330067,0.8860638615085962,6.75,8.0,0.0,2.25,0.17559523809523805,0.0,0.08779761904761901,0.13425925925925927,0.9122023809523809,1.5,1.0
