protocol_number,when_aug_performed,aug_type,config/HP_AUG_PER,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,config/HP_REPEAT,fold_number
2,AfterSplit,TradAugSpoofOnly,0.05,1364.0833333333333,9212.125,169.875,77.16666666666667,0.049640050963236974,0.018106480494564012,0.0338732657289005,0.06005378137671468,0.9661267342710995,1.5,1.0
2,AfterSplit,TradAugSpoofOnly,0.1,1371.9583333333333,9137.666666666666,244.33333333333334,69.29166666666667,0.04396058716728458,0.0260427769487671,0.03500168205802583,0.06232919998181214,0.9649983179419741,1.5,1.0
2,AfterSplit,TradAugSpoofOnly,0.2,1379.25,9063.708333333334,318.2916666666667,62.0,0.03931068856500237,0.033925779862147336,0.03661823421357484,0.06089989813933446,0.9633817657864251,1.5,1.0
2,AfterSplit,TradAugSpoofOnly,0.3,1375.8333333333333,9053.416666666666,328.5833333333333,65.41666666666667,0.041007137388666216,0.0350227385774177,0.03801493798304196,0.06578070515850097,0.961985062016958,1.5,1.0
3,AfterSplit,TradAugSpoofOnly,0.05,3083.8333333333335,9292.333333333334,89.66666666666667,899.1666666666666,0.17200340878984935,0.009557308320898133,0.09078035855537374,0.13936479738705687,0.9092196414446262,1.5,1.0
3,AfterSplit,TradAugSpoofOnly,0.1,3156.0,9303.416666666666,78.58333333333333,827.0,0.15084832921092,0.008375968165991558,0.0796121486884558,0.1229387888481715,0.9203878513115442,1.5,1.0
3,AfterSplit,TradAugSpoofOnly,0.2,3150.0,9304.166666666666,77.83333333333333,833.0,0.15041448084191011,0.008296027854757292,0.07935525434833371,0.12097100275643229,0.9206447456516663,1.5,1.0
3,AfterSplit,TradAugSpoofOnly,0.3,3189.0,9273.416666666666,108.58333333333333,794.0,0.14079392281281902,0.011573580615362691,0.07618375171409085,0.11807541805439771,0.9238162482859091,1.5,1.0
