,0.05,0.1,0.2,0.3
ASUS,42669.07,43605.03,45701.07,47902.35
IP7P,34154.25,35524.37,37316.73,40225.69
IPP2017,42227.12,43101.11,44863.01,47811.82
SGS8,30863.85,31259.97,32257.13,34126.08
P,35771.89,36636.13,38896.9,41156.2
R,56674.87,57278.65,59170.78,60748.39
