,0.05,0.1,0.2,0.3
ASUS,42823.48,43034.56,43602.88,44465.67
IP7P,33908.93,34309.59,34799.53,35630.82
IPP2017,42220.61,42714.11,43539.66,44748.05
SGS8,30502.6,30717.8,30786.66,30810.7
P,35743.04,35995.39,37014.51,37347.99
R,56356.02,56947.38,56301.84,56544.42
