,0.05,0.1,0.2,0.3
ASUS,41966.6,41776.06,41535.35,41349.22
IP7P,34256.49,34564.12,35312.03,36424.53
IPP2017,41231.7,40754.82,40002.34,39714.88
SGS8,30305.34,30120.28,29417.4,28948.89
P,35556.34,35329.79,34817.42,34972.84
R,56824.94,56768.8,56448.79,55801.16
