,0.05,0.1,0.2,0.3
ASUS,213883.95,212178.24,209637.17,208114.66
IP7P,216234.59,215451.81,214513.05,214621.03
IPP2017,218557.87,217847.23,215941.12,213392.16
SGS8,215155.88,213452.81,209456.41,207336.49
P,209850.8,209436.27,206438.25,206207.34
R,202840.87,200544.32,196481.38,191832.18
