,0.05,0.1,0.2,0.3
ASUS,216584.91,217725.29,220213.16,223273.72
IP7P,217556.38,217666.33,218865.48,219919.88
IPP2017,221871.16,224217.32,227295.31,230167.87
SGS8,217798.93,216689.3,217400.14,218199.67
P,212479.31,213432.1,215942.0,217528.77
R,202481.85,199714.84,194527.22,189313.28
